Mot;Occurrence;Mot_nettoye;Cluster
angela;550;angeler;0
retournerez;2;retourner;0
scène;115;scène;0
crime;316;crim;0
photos;125;photo;0
prends;103;prend;0
trouvez;75;trouver;0
dimensions;11;dimension;0
blessure;153;blessur;0
contondante;2;contondant;0
ressembler;10;ressembler;0
motif;29;motif;0
policier;16;policier;0
fier;30;fier;0
épinglera;2;épingler;0
numéro;132;numéro;0
veste;37;veste;0
touchant;5;;0
fond;81;fond;0
enfoncé;28;enfoncer;0
bonde;4;bond;0
céramique;27;céramique;0
soulevé;3;soulever;0
voilà;321;;0
prête;57;prête;0
recherches;45;recherche;0
finances;6;finance;0
larrys;2;larrys;0
police;142;police;0
assurance;33;assurance;0
million;32;million;0
dollars;119;dollar;0
donne;157;donne;0
gayle;18;gayle;0
cependant;15;;0
rédigé;3;rédiger;0
testament;14;testamer;0
lègue;2;lègu;0
lila;20;lila;0
préservatif;6;préservatif;0
usagé;3;usagé;0
doigt;59;doigt;0
gant;12;ger;0
caoutchouc;22;caoutchouc;0
hodgins;711;hodgin;0
évacuation;15;évacuation;0
épargné;5;épargner;0
effets;25;effet;0
lessive;2;lessive;0
soude;6;soude;0
pourrions;27;pourrion;0
etre;7;;0
empreinte;55;empreindre;0
digitale;11;digital;0
intérieur;101;intérieur;0
aurons;24;avoir;0
assassin;44;assassin;0
procédure;20;procédure;0
standard;11;standard;0
pressez;2;presser;0
doigts;56;doigt;0
fermement;3;fermement;0
appuyez;10;appuyer;0
enquête;182;enquête;0
relevé;14;relever;0
vôtre;45;;0
éviter;43;éviter;0
possible;189;;0
confusion;8;confusion;0
sera;212;;0
long;99;long;0
technicien;3;technicien;0
déposé;31;déposer;0
annulaire;5;annulaire;0
main;210;main;0
gauche;139;gauche;0
devrait;261;devoir;0
etes;27;ete;0
meilleur;144;meilleur;0
tanné;4;tanner;0
présent;79;présent;0
frousse;2;frousse;0
anthropologiquement;23;anthropologiquement;0
inévitable;7;inévitable;0
cancaner;4;cancaner;0
harceler;4;harceler;0
soda;12;soda;0
travaillez;33;travailler;0
également;62;;0
affaire;336;affaire;0
donné;269;donner;0
kleenex;2;kleenex;0
dépassée;3;dépasser;0
mesdames;23;madame;0
présentations;3;présentation;0
aimable;2;aimable;0
viens;145;vien;0
perdre;79;perdre;0
essaie;88;essayer;0
maris;16;mari;0
aidera;20;aider;0
petite;269;petit;0
démonstration;6;démonstration;0
explication;30;explication;0
plaisanterie;11;plaisanterie;0
aurait;579;;0
mariée;55;marier;0
asseyez;26;asseoir;0
asseoit;3;asseoit;0
ridicule;36;ridicule;0
imaginer;34;imaginer;0
cet;385;;0
correspond;151;correspond;0
aucune;281;aucun;0
revient;43;revenir;0
case;32;case;0
sûres;2;sûre;0
offrir;18;offrir;0
pouvoirs;20;pouvoir;0
discernement;5;discernement;0
aient;18;avoir;0
particulièrement;13;particulièrement;0
vifs;3;vif;0
vis;51;vis;0
bons;39;bon;0
mauvais;104;mauvais;0
